WY,Oct_Mar,Apr_Jul,WYsum,Index,WYtype,watershed
1907,  18.96,  13.45,  33.70,  14.07,    W,Sacramento Valley
1908,   8.29,   5.60,  14.77,   7.73,   BN,Sacramento Valley
1909,  20.61,   8.98,  30.68,  12.10,    W,Sacramento Valley
1910,  13.12,   6.11,  20.12,   9.38,    W,Sacramento Valley
1911,  12.27,  13.12,  26.38,  11.74,    W,Sacramento Valley
1912,   4.84,   5.65,  11.41,   6.71,   BN,Sacramento Valley
1913,   5.72,   6.29,  12.85,   6.24,    D,Sacramento Valley
1914,  16.72,  10.08,  27.81,  10.92,    W,Sacramento Valley
1915,  11.41,  11.42,  23.86,  10.99,    W,Sacramento Valley
1916,  14.25,   8.89,  24.14,  10.83,    W,Sacramento Valley
1917,   7.25,   9.14,  17.26,   8.83,   AN,Sacramento Valley
1918,   5.27,   4.89,  10.99,   6.19,    D,Sacramento Valley
1919,   8.12,   6.77,  15.66,   7.00,   BN,Sacramento Valley
1920,   3.63,   4.91,   9.20,   5.15,    C,Sacramento Valley
1921,  15.47,   7.52,  23.80,   9.20,   AN,Sacramento Valley
1922,   6.63,  10.57,  17.98,   8.97,   AN,Sacramento Valley
1923,   6.21,   6.27,  13.21,   7.06,   BN,Sacramento Valley
1924,   3.27,   1.94,   5.74,   3.87,    C,Sacramento Valley
1925,   8.76,   6.51,  15.99,   6.39,    D,Sacramento Valley
1926,   6.37,   4.79,  11.76,   5.75,    D,Sacramento Valley
1927,  14.34,   8.75,  23.83,   9.52,    W,Sacramento Valley
1928,  10.24,   5.86,  16.76,   8.27,   AN,Sacramento Valley
1929,   4.00,   3.84,   8.40,   5.22,    C,Sacramento Valley
1930,   8.24,   4.65,  13.52,   5.90,    D,Sacramento Valley
1931,   3.52,   2.09,   6.10,   3.66,    C,Sacramento Valley
1932,   6.28,   6.24,  13.12,   5.48,    D,Sacramento Valley
1933,   3.73,   4.66,   8.94,   4.63,    C,Sacramento Valley
1934,   5.68,   2.45,   8.63,   4.07,    C,Sacramento Valley
1935,   6.27,   9.69,  16.59,   6.98,   BN,Sacramento Valley
1936,  10.32,   6.41,  17.35,   7.75,   BN,Sacramento Valley
1937,   5.50,   7.24,  13.33,   6.87,   BN,Sacramento Valley
1938,  17.96,  12.93,  31.83,  12.62,    W,Sacramento Valley
1939,   4.56,   3.04,   8.18,   5.58,    D,Sacramento Valley
