WY,Dec,Jan,Feb,Mar,Apr,May
1906,0.55,3.69,2.93,7,5.34,6.43
1907,2.14,2.83,6.01,10.4,7.32,5.86
1908,1.43,2.27,2.12,2.19,2.53,2.59
1909,0.66,11.14,6.85,3.71,4.22,4.78
1910,3.09,2.9,2.55,4.84,4.21,3.3
1911,1.15,4.11,3.61,5.88,6.36,5.71
1912,0.55,1.2,0.94,1.61,1.58,3.33
1913,0.77,1.6,1.01,1.32,2.81,3.31
1914,1.72,8.5,3.99,4.18,5.05,5.28
1915,0.76,1.86,5.43,3.54,4.43,6.38
1916,1.52,3.75,4.89,5.71,5.03,4.44
1917,1.28,1.01,3.13,2.15,4.29,4.37
1918,0.7,0.57,1.22,2.99,3.09,2.53
1919,0.68,1.2,3.13,2.74,3.89,4.06
1920,0.68,0.57,0.58,1.71,2.58,3.2
1921,2.9,4.34,3.15,4.22,3.3,4.01
1922,1.16,1.07,2.63,2.41,3.66,6.68
1923,2.03,1.75,1.2,1.51,3.38,3.66
1924,0.49,0.56,1.16,0.64,1.07,1.1
1925,0.92,0.94,4.99,2.18,3.82,3.7
1926,0.67,0.76,3.18,1.73,3.79,2.18
1927,2.01,2.22,6.05,3.53,4.82,4.28
1928,1.1,1.37,1.94,5.69,3.73,3.02
1929,0.64,0.61,1.12,1.29,1.63,2.49
1930,2.37,1.41,1.84,2.78,2.64,2.29
1931,0.39,0.8,0.78,1.2,1.23,1.18
1932,1.68,1.33,1.84,2.5,2.73,4.16
1933,0.42,0.7,0.58,1.89,1.97,2.36
1934,1.04,1.47,1.59,1.9,1.61,1.09
1935,0.79,1.87,1.56,2.13,6.18,4.74
1936,0.51,3.22,5.04,2.77,3.83,3.71
1937,0.45,0.54,2.36,3.28,3.77,4.92
1938,4.81,1.86,5.27,7.5,5.98,7.34
1939,0.8,0.79,0.81,1.91,2.26,1.47
1940,0.68,3.88,5.68,6.22,4.61,3.77
1941,3.41,4.28,5.07,4.72,4.62,5.75
1942,3.58,4.18,5.1,2.23,4.64,4.76
1943,1.83,4.67,2.84,5.33,4.23,3.59
1944,0.55,0.78,1.44,1.94,1.88,3.34
1945,1.5,1.07,4.13,2.17,2.82,3.82
1946,4.6,2.64,1.31,2.29,3.45,3.68
1947,1.06,0.64,1.57,2.51,2.2,2.05
1948,0.5,1.91,0.7,1.56,4.34,4.51
1949,0.66,0.53,0.92,3.32,3.27,3.39
1950,0.43,1.82,2.54,2.46,3.74,3.73
1951,5.95,3.4,3.52,2.66,2.81,3.15
1952,3.36,3.48,4.03,3.68,6.35,7.51
1953,1.92,5.4,1.52,2.06,3.25,3.38
1954,0.8,2.2,2.84,3.66,4.56,3.27
1955,1.35,1.16,0.96,1.27,1.97,3.22
1956,9.14,7.52,3.71,3.07,3.51,5.24
1957,0.61,0.79,2.65,3.41,2.36,3.85
1958,1.62,2.39,7.61,4.71,6.04,6.74
1959,0.58,2.25,2.5,1.98,2.27,1.82
1960,0.47,0.9,3.15,3.22,2.5,2.39
1961,1.36,0.86,2.14,1.93,2.02,2.16
1962,1.19,0.78,4.08,2.39,3.89,3.14
1963,1.9,1.7,4.66,2.1,5.6,4.99
1964,0.85,1.55,1.01,1.15,1.92,2.44
1965,8.66,5.61,2.26,1.97,4.74,3.81
1966,1.04,1.85,1.56,2.52,3.33,2.52
1967,2.98,3.34,2.52,4.09,3.82,6.26
1968,0.85,1.49,3.71,2.55,2.17,2.15
1969,1.77,7.91,4.73,3.36,5.44,7.34
1970,3.3,10.68,3.02,3.12,1.82,2.77
1971,3.26,3.05,1.83,3.73,3.4,4.18
1972,1.19,1.4,1.73,3.3,2.52,2.61
1973,1.83,4.08,3.66,3.27,3.08,4.76
1974,3.68,6.93,2.1,6.18,5.07,4.69
1975,0.86,1.01,2.92,4.65,2.89,5.4
1976,0.76,0.65,0.88,1.34,1.35,1.44
1977,0.38,0.47,0.48,0.54,0.69,0.91
1978,1.9,5.91,3.48,5.36,4.4,4.7
1979,0.53,1.44,2.1,2.9,2.67,4.5
1980,1.24,6.89,5.93,3.62,3.11,3.67
1981,0.92,1.57,1.76,2.48,2.32,2.11
1982,5.58,3.5,5.57,4.74,8.05,5.68
1983,3.69,4.25,6.46,10.57,4.87,6.96
1984,6.72,2.85,2.29,3.08,2.5,3.6
1985,1.2,0.84,1.21,1.59,2.79,2.14
1986,1.25,2.62,11.55,7.09,3.19,3.56
1987,0.53,0.78,1.48,2.6,1.73,1.48
1988,1.7,1.84,1.01,1.26,1.48,1.59
1989,0.72,0.85,0.99,6.17,3.59,2.22
1990,0.45,1.27,0.88,1.84,1.8,1.77
1991,0.34,0.37,0.45,2.64,1.95,2.4
1992,0.47,0.58,2.41,1.99,2.17,1.33
1993,1.25,4.06,3.13,5.7,4.33,5.23
1994,0.78,0.78,1.23,1.49,1.57,1.79
1995,1.06,8.11,3.12,10.19,5.61,7.18
1996,1.72,2.47,6.25,4.25,3.97,5.5
